,车站,拼音,路局,地区,经度x,纬度x,id,经度,纬度,省,市,区
60,合肥北城,HE FEI BEI CHENG,中国铁路上海局,安徽省 合肥市 长丰县,116.4698,33.3881,36990862,117.2455,32.06457424,安徽省,合肥市,长丰县
61,合肥,HE FEI,中国铁路上海局,安徽省 合肥市 瑶海区,116.5339,33.2087,31900137,117.3086449,31.88689648,安徽省,合肥市,瑶海区
62,合肥南,HE FEI NAN,中国铁路上海局,安徽省 合肥市 包河区,116.5086,33.1204,8640433,117.2837219,31.79944416,安徽省,合肥市,包河区
172,安庆,AN QING,中国铁路上海局,安徽省 安庆市 宜秀区,116.2806,31.8599,43270283,117.0591191,30.55104496,安徽省,安庆市,宜秀区
173,安庆西,AN QING XI,中国铁路上海局,安徽省 安庆市 怀宁县,116.0771,31.984,95364762,116.8586512,30.6739536,安徽省,安庆市,怀宁县
184,蚌埠南,BENG BU NAN,中国铁路上海局,安徽省 蚌埠市 龙子湖区,116.6625,34.2345,6030594,117.4353288,32.9028488,安徽省,蚌埠市,龙子湖区
185,蚌埠,BENG BU,中国铁路上海局,安徽省 蚌埠市 龙子湖区,116.5961,34.2761,26640376,117.3699181,32.94404944,安徽省,蚌埠市,龙子湖区
243,亳州,BO ZHOU,中国铁路上海局,安徽省 亳州市 谯城区,114.9938,35.1892,19580566,115.7914924,33.84838368,安徽省,亳州市,谯城区
245,亳州南,BO ZHOU NAN,中国铁路上海局,安徽省 亳州市 谯城区,114.9932,35.1356,90736030,115.7909013,33.79529824,安徽省,亳州市,谯城区
263,巢湖东,CHAO HU DONG,中国铁路上海局,安徽省 合肥市 巢湖市,117.1535,32.9385,22490204,117.9190129,31.6192904,安徽省,合肥市,巢湖市
265,巢湖,CHAO HU,中国铁路上海局,安徽省 合肥市 巢湖市,117.1184,32.9354,47510289,117.8844358,31.61622016,安徽省,合肥市,巢湖市
270,长临河,CHANG LIN HE,中国铁路上海局,安徽省 合肥市 肥东县,116.7046,33.0194,22480776,117.4768015,31.69941376,安徽省,合肥市,肥东县
307,滁州北,CHU ZHOU BEI,中国铁路上海局,安徽省 滁州市 琅琊区,117.5617,33.6355,26750672,118.3211307,32.3095992,安徽省,滁州市,琅琊区
312,池州,CHI ZHOU,中国铁路上海局,安徽省 池州市 贵池区,116.7444,31.93,32370842,117.5160084,30.620472,安徽省,池州市,贵池区
313,滁州,CHU ZHOU,中国铁路上海局,安徽省 滁州市 全椒县,117.5539,33.5236,6070277,118.3134469,32.19877344,安徽省,滁州市,全椒县
373,砀山南,DANG SHAN NAN,中国铁路上海局,安徽省 宿州市 砀山县,115.5065,35.7323,55810753,116.2965532,34.38626992,安徽省,宿州市,砀山县
402,东至,DONG ZHI,中国铁路上海局,安徽省 池州市 东至县,116.2434,31.4791,32430703,117.0224733,30.17390064,安徽省,池州市,东至县
417,肥东,FEI DONG,中国铁路上海局,安徽省 合肥市 肥东县,116.7067,33.1842,8630882,117.4788702,31.86263168,安徽省,合肥市,肥东县
446,肥西,FEI XI,中国铁路上海局,安徽省 合肥市 肥西县,116.3593,33.0389,43050170,117.1366464,31.71872656,安徽省,合肥市,肥西县
448,阜阳,FU YANG,中国铁路上海局,安徽省 阜阳市 颍东区,115.0666,34.2479,19640188,115.8632077,32.91612016,安徽省,阜阳市,颍东区
456,阜阳西,FU YANG XI,中国铁路上海局,安徽省 阜阳市 颍州区,114.9471,34.2157,89472163,115.7454882,32.88422928,安徽省,阜阳市,颍州区
513,淮北,HUAI BEI,中国铁路上海局,安徽省 淮北市 相山区,116.0138,35.31,47780226,116.7962944,33.968024,安徽省,淮北市,相山区
573,淮南,HUAI NAN,中国铁路上海局,安徽省 淮南市 田家庵区,116.2337,33.9607,47390577,117.0129179,32.63167728,安徽省,淮南市,田家庵区
575,淮南东,HUAI NAN DONG,中国铁路上海局,安徽省 淮南市 大通区,116.3668,33.9758,6040418,117.1440347,32.64663232,安徽省,淮南市,大通区
576,淮南南,HUAI NAN NAN,中国铁路上海局,安徽省 淮南市 田家庵区,116.2556,33.8716,90799808,117.0344916,32.54343264,安徽省,淮南市,田家庵区
585,黄山北,HUANG SHAN BEI,中国铁路上海局,安徽省 黄山市 徽州区,117.5064,31.1189,22570708,118.2666546,29.81715856,安徽省,黄山市,徽州区
592,黄山,HUANG SHAN,中国铁路上海局,安徽省 黄山市 屯溪区,117.5565,31.0248,32860931,118.3160082,29.72396192,安徽省,黄山市,屯溪区
596,黄山西,HUANG SHAN XI,中国铁路上海局,安徽省 黄山市,117.3209,31.5847,101267667,118.0839186,30.27848688,安徽省,黄山市,
674,界首南,JIE SHOU NAN,中国铁路上海局,安徽省 阜阳市 界首市,114.5133,34.5582,89450949,115.3181518,33.22344128,安徽省,阜阳市,界首市
678,绩溪北,JI XI BEI,中国铁路上海局,安徽省 宣城市 绩溪县,117.8093,31.3781,22550703,118.5650414,30.07387024,安徽省,宣城市,绩溪县
688,绩溪县,JI XI XIAN,中国铁路上海局,安徽省 宣城市 绩溪县,117.8225,31.3618,32800992,118.5780448,30.05772672,安徽省,宣城市,绩溪县
702,金寨,JIN ZHAI,中国铁路上海局,安徽省 六安市 金寨县,115.1747,32.946,8690142,115.969697,31.6267184,安徽省,六安市,金寨县
737,六安,LU AN,中国铁路上海局,安徽省 六安市,115.7075,33.0359,8670003,116.4945583,31.71575536,安徽省,六安市,
786,庐江,LU JIANG,中国铁路上海局,安徽省 合肥市 庐江县,116.3933,32.6585,43080473,117.1701398,31.3419784,安徽省,合肥市,庐江县
788,庐江西,LU JIANG XI,中国铁路上海局,安徽省 合肥市 庐江县,116.4345,32.5847,92228451,117.210726,31.26888688,安徽省,合肥市,庐江县
807,龙桥,LONG QIAO,中国铁路上海局,安徽省 合肥市 庐江县,116.6639,32.4505,90375657,117.4367079,31.1359752,安徽省,合肥市,庐江县
860,马鞍山东,MA AN SHAN DONG,中国铁路上海局,安徽省 马鞍山市 花山区,117.7797,33.0137,48080497,118.5358825,31.69376848,安徽省,马鞍山市,花山区
870,明光,MING GUANG,中国铁路上海局,安徽省 滁州市 明光市,117.2172,34.1015,26690307,117.9817637,32.7711256,安徽省,滁州市,明光市
1028,潜山,QIAN SHAN,中国铁路上海局,安徽省 安庆市 潜山市,115.8264,31.8843,95381441,116.6116866,30.57521072,安徽省,安庆市,潜山市
1061,舒城东,SHU CHENG DONG,中国铁路上海局,安徽省 六安市 舒城县,116.2625,32.8038,92220105,117.0412888,31.48588352,安徽省,六安市,舒城县
1085,水家湖,SHUI JIA HU,中国铁路上海局,安徽省 合肥市 长丰县,116.3859,33.8123,6050784,117.1628501,32.48470192,安徽省,合肥市,长丰县
1133,宿松东,SU SONG DONG,中国铁路上海局,安徽省 安庆市 宿松县,115.3779,31.4571,95414799,116.1698693,30.15211184,安徽省,安庆市,宿松县
1134,蜀山东,SHU SHAN DONG,中国铁路上海局,安徽省 合肥市 蜀山区,116.4328,33.1544,36970164,117.2090513,31.83311776,安徽省,合肥市,蜀山区
1138,宿松,SU SONG,中国铁路上海局,安徽省 安庆市 宿松县,115.3046,31.5366,43200801,116.0976615,30.23084864,安徽省,安庆市,宿松县
1167,宿州东,SU ZHOU DONG,中国铁路上海局,安徽省 宿州市 埇桥区,116.4694,35.0155,6020207,117.2451059,33.6763512,安徽省,宿州市,埇桥区
1172,宿州,SU ZHOU,中国铁路上海局,安徽省 宿州市 埇桥区,116.2091,34.9779,26550694,116.9886844,33.63911216,安徽省,宿州市,埇桥区
1199,太湖南,TAI HU NAN,中国铁路上海局,安徽省 安庆市 太湖县,115.5683,31.7171,95398120,116.3574323,30.40961584,安徽省,安庆市,太湖县
1202,太湖,TAI HU,中国铁路上海局,安徽省 安庆市 太湖县,115.504,31.7693,43180190,116.2940904,30.46131472,安徽省,安庆市,太湖县
1210,铜陵,TONG LING,中国铁路上海局,安徽省 铜陵市 铜官区,117.0896,32.2327,32310432,117.856065,30.92026608,安徽省,铜陵市,铜官区
1259,芜湖,WU HU,中国铁路上海局,安徽省 芜湖市 镜湖区,117.6269,32.6651,32210577,118.3853592,31.34851504,安徽省,芜湖市,镜湖区
1286,无为南,WU WEI NAN,中国铁路上海局,安徽省 芜湖市 无为市,117.1584,32.4715,90226323,117.9238398,31.1567736,安徽省,芜湖市,无为市
1313,宣城,XUAN CHENG,中国铁路上海局,安徽省 宣城市 宣州区,118.0154,32.2613,32660477,118.7680705,30.94859152,安徽省,宣城市,宣州区
1379,萧县北,XIAO XIAN BEI,中国铁路上海局,安徽省 宿州市 萧县,116.1548,35.5824,55830019,116.9351935,34.23780896,安徽省,宿州市,萧县
1540,柘皋,ZHE GAO,中国铁路上海局,安徽省 合肥市 巢湖市,116.9483,33.0673,90634935,117.7168703,31.74685392,安徽省,合肥市,巢湖市
1832,砀山,DANG SHAN,中国铁路上海局,安徽省 宿州市 砀山县,115.534,35.7626,9290686,116.3236434,34.41627904,安徽省,宿州市,砀山县
1840,当涂东,DANG TU DONG,中国铁路上海局,安徽省 马鞍山市 当涂县,117.7643,32.8812,48090020,118.5207119,31.56254048,安徽省,马鞍山市,当涂县
1861,定远,DING YUAN,中国铁路上海局,安徽省 滁州市 定远县,117.0693,33.9055,6060276,117.8360674,32.5770072,安徽省,滁州市,定远县
1896,繁昌西,FAN CHANG XI,中国铁路上海局,安徽省 芜湖市 繁昌区,117.3901,32.386,48110000,118.1520875,31.0720944,安徽省,芜湖市,繁昌区
1905,阜南,FU NAN,中国铁路上海局,安徽省 阜阳市 阜南县,114.7463,33.9694,19670001,115.5476801,32.64029376,安徽省,阜阳市,阜南县
1923,凤台南,FENG TAI NAN,中国铁路上海局,安徽省 淮南市 凤台县,115.8314,33.967,90778546,116.6166121,32.6379168,安徽省,淮南市,凤台县
1931,凤阳,FENG YANG,中国铁路上海局,安徽省 滁州市 凤阳县,116.8523,34.2382,26660805,117.6223007,32.90651328,安徽省,滁州市,凤阳县
1943,古城东,GU CHENG DONG,中国铁路上海局,安徽省 亳州市 谯城区,115.0074,34.8648,90746652,115.8048897,33.52709792,安徽省,亳州市,谯城区
1948,广德,GUANG DE,中国铁路上海局,安徽省 宣城市 广德市,118.6595,32.2253,48150342,119.4025735,30.91293712,安徽省,宣城市,广德市
1950,广德南,GUANG DE NAN,中国铁路上海局,安徽省 宣城市 广德市,118.6684,32.1672,90676625,119.4113408,30.85539488,安徽省,宣城市,广德市
2003,涡阳,GUO YANG,中国铁路上海局,安徽省 亳州市 涡阳县,115.4432,34.8268,47720684,116.2341963,33.48946272,安徽省,亳州市,涡阳县
2015,固镇,GU ZHEN,中国铁路上海局,安徽省 蚌埠市 固镇县,116.5245,34.6533,26600528,117.299385,33.31762832,安徽省,蚌埠市,固镇县
2028,淮北北,HUAI BEI BEI,中国铁路上海局,安徽省 淮北市 杜集区,116.0639,35.3912,47800157,116.8456479,34.04844448,安徽省,淮北市,杜集区
2064,黄口,HUANG KOU,中国铁路上海局,安徽省 宿州市 萧县,115.9069,35.7059,9270556,116.6909872,34.36012336,安徽省,宿州市,萧县
2089,怀宁,HUAI NING,中国铁路上海局,安徽省 安庆市 怀宁县,116.0319,32.0746,43140557,116.8141247,30.76368384,安徽省,安庆市,怀宁县
2096,霍邱,HUO QIU,中国铁路上海局,安徽省 六安市 霍邱县,115.3438,33.3784,61240299,116.1362774,32.05496736,安徽省,六安市,霍邱县
2117,含山南,HAN SHAN NAN,中国铁路上海局,安徽省 马鞍山市 含山县,117.3217,32.7963,90643273,118.0847067,31.47845552,安徽省,马鞍山市,含山县
2159,旌德,JING DE,中国铁路上海局,安徽省 宣城市 旌德县,117.7657,31.6022,22540362,118.5220911,30.29581888,安徽省,宣城市,旌德县
2169,九华山,JIU HUA SHAN,中国铁路上海局,安徽省 池州市 青阳县,117.0838,31.9065,101250996,117.8503514,30.5971976,安徽省,池州市,青阳县
2205,界首市,JIE SHOU SHI,中国铁路武汉局,安徽省 阜阳市 界首市,114.5667,34.6041,47940259,115.3707562,33.26890064,安徽省,阜阳市,界首市
2215,泾县,JING XIAN,中国铁路上海局,安徽省 宣城市 泾县,117.6235,31.9694,22530332,118.3820099,30.65949376,安徽省,宣城市,泾县
2262,灵璧,LING BI,中国铁路上海局,安徽省 宿州市 灵璧县,116.7621,34.9392,35440926,117.5334447,33.60078368,安徽省,宿州市,灵璧县
2324,芦庙,LU MIAO,中国铁路上海局,安徽省 亳州市,114.981,35.3833,90725401,115.7788831,34.04062032,安徽省,亳州市,
2337,临泉,LIN QUAN,中国铁路上海局,安徽省 阜阳市 临泉县,114.5669,34.3568,89461556,115.3709532,33.02397472,安徽省,阜阳市,临泉县
2369,郎溪南,LANG XI NAN,中国铁路上海局,安徽省 宣城市 郎溪县,118.4036,32.2513,90668287,119.1504864,30.93868752,安徽省,宣城市,郎溪县
2371,利辛西,LI XIN XI,中国铁路上海局,安徽省 亳州市 利辛县,115.3295,34.5409,47730187,116.1221905,33.20630736,安徽省,亳州市,利辛县
2393,马鞍山,MA AN SHAN,中国铁路上海局,安徽省 马鞍山市 花山区,117.7386,33.0287,32130684,118.4953949,31.70862448,安徽省,马鞍山市,花山区
2452,宁国,NING GUO,中国铁路上海局,安徽省 宣城市 宁国市,118.2372,31.9465,32700539,118.9865657,30.6368136,安徽省,宣城市,宁国市
2468,南陵,NAN LING,中国铁路上海局,安徽省 芜湖市 南陵县,117.5316,32.1487,22520486,118.2914792,30.83707248,安徽省,芜湖市,南陵县
2561,全椒,QUAN JIAO,中国铁路上海局,安徽省 滁州市 全椒县,117.5164,33.3845,8600835,118.2765056,32.0610088,安徽省,滁州市,全椒县
2571,青龙山,QING LONG SHAN,中国铁路上海局,安徽省 淮北市 烈山区,116.0134,35.2119,47660079,116.7959003,33.87086576,安徽省,淮北市,烈山区
2572,祁门,QI MEN,中国铁路上海局,安徽省 黄山市 祁门县,116.955,31.1496,32930443,117.7234705,29.84756384,安徽省,黄山市,祁门县
2573,祁门南,QI MEN NAN,中国铁路上海局,安徽省 黄山市 祁门县,116.9244,31.135,100417446,117.6933264,29.833104,安徽省,黄山市,祁门县
2634,舒城,SHU CHENG,中国铁路上海局,安徽省 六安市 舒城县,116.3764,32.8283,43070256,117.1534916,31.51014832,安徽省,六安市,舒城县
2720,三堂集,SAN TANG JI,中国铁路上海局,安徽省 阜阳市 太和县,115.0171,34.674,19610084,115.8144452,33.3381296,安徽省,阜阳市,太和县
2728,歙县北,SHE XIAN BEI,中国铁路上海局,安徽省 黄山市 歙县,117.6456,31.2261,22560860,118.4037806,29.92332944,安徽省,黄山市,歙县
2731,寿县,SHOU XIAN,中国铁路上海局,安徽省 淮南市 寿县,116.017,33.9228,90789177,116.7994467,32.59414112,安徽省,淮南市,寿县
2734,歙县,SHE XIAN,中国铁路上海局,安徽省 黄山市 歙县,117.6468,31.1701,32830638,118.4049627,29.86786704,安徽省,黄山市,歙县
2735,泗县,SI XIAN,中国铁路上海局,安徽省 宿州市 泗县,117.077,34.8763,35460398,117.8436527,33.53848752,安徽省,宿州市,泗县
2744,三阳,SAN YANG,中国铁路上海局,安徽省 黄山市 歙县,118.0499,31.3319,90290133,118.8020565,30.02811376,安徽省,黄山市,歙县
2780,桐城东,TONG CHENG DONG,中国铁路上海局,安徽省 安庆市 桐城市,116.2549,32.3398,92236797,117.033802,31.02633792,安徽省,安庆市,桐城市
2784,桐城,TONG CHENG,中国铁路上海局,安徽省 安庆市 桐城市,116.1931,32.3656,43110137,116.9729228,31.05189024,安徽省,安庆市,桐城市
2785,桐城南,TONG CHENG NAN,中国铁路上海局,安徽省 安庆市 桐城市,116.1789,32.1871,92245141,116.9589344,30.87510384,安徽省,安庆市,桐城市
2796,太和北,TAI HE BEI,中国铁路武汉局,安徽省 阜阳市 太和县,114.7714,34.5584,47950470,115.5724061,33.22363936,安徽省,阜阳市,太和县
2797,太和东,TAI HE DONG,中国铁路上海局,安徽省 阜阳市 太和县,114.9229,34.4912,90757288,115.7216488,33.15708448,安徽省,阜阳市,太和县
2805,铜陵北,TONG LING BEI,中国铁路上海局,安徽省 铜陵市 义安区,117.2512,32.3283,22510083,118.0152571,31.01494832,安徽省,铜陵市,义安区
2845,天柱山,TIAN ZHU SHAN,中国铁路上海局,安徽省 安庆市 潜山市,115.7683,31.9671,43160535,116.5544523,30.65721584,安徽省,安庆市,潜山市
2873,芜湖北,WU HU BEI,中国铁路上海局,安徽省 芜湖市 鸠江区,117.4892,32.6729,90651611,118.2497109,31.35624016,安徽省,芜湖市,鸠江区
2875,芜湖南,WU HU NAN,中国铁路上海局,安徽省 芜湖市 弋江区,117.6143,32.565,48100053,118.3729469,31.249376,安徽省,芜湖市,弋江区
2911,无为,WU WEI,中国铁路上海局,安徽省 芜湖市 无为市,117.1981,32.6217,22500121,117.9629483,31.30553168,安徽省,芜湖市,无为市
2930,湾沚南,WAN ZHI NAN,中国铁路上海局,安徽省 芜湖市 湾沚区,117.8236,32.4077,90659949,118.5791284,31.09358608,安徽省,芜湖市,湾沚区
3031,萧县,XIAO XIAN,中国铁路上海局,安徽省 宿州市 萧县,116.1724,35.5141,47820436,116.9525312,34.17016464,安徽省,宿州市,萧县
3101,叶集,YE JI,中国铁路上海局,安徽省 六安市 霍邱县,115.1357,33.1564,31940789,115.9312781,31.83509856,安徽省,六安市,霍邱县
3132,颍上北,YING SHANG BEI,中国铁路上海局,安徽省 阜阳市 颍上县,115.4136,34.0105,90767915,116.2050374,32.6809992,安徽省,阜阳市,颍上县
3142,颍上,YING SHANG,中国铁路上海局,安徽省 阜阳市 颍上县,115.5107,34.0712,47600593,116.3006906,32.74111648,安徽省,阜阳市,颍上县
3159,黟县东,YI XIAN DONG,中国铁路上海局,安徽省 黄山市 黟县,117.2784,31.1893,100434117,118.0420518,29.88688272,安徽省,黄山市,黟县
0,北京北,BEI JING BEI,中国铁路北京局,北京市 西城区,115.5563,41.3407,6560141,116.3456111,39.94082928,北京市,北京市,西城区
1,北京东,BEI JING DONG,中国铁路北京局,北京市 朝阳区,115.6865,41.2986,11720703,116.4738712,39.89913344,北京市,北京市,朝阳区
2,北京,BEI JING,中国铁路北京局,北京市 东城区,115.631,41.2986,11710233,116.4191981,39.89913344,北京市,北京市,东城区
3,北京南,BEI JING NAN,中国铁路北京局,北京市 丰台区,115.582,41.261,5900805,116.3709282,39.8618944,北京市,北京市,丰台区
4,北京大兴,BEI JING DA XING,中国铁路北京局,北京市 大兴区,115.5311,41.1153,90044941,116.3207866,39.71759312,北京市,北京市,大兴区
5,北京西,BEI JING XI,中国铁路北京局,北京市 丰台区,115.5236,41.2915,3100682,116.3133984,39.8921016,北京市,北京市,丰台区
6,北京朝阳,BEI JING CHAO YANG,中国铁路北京局,北京市 朝阳区,115.7139,41.3413,92111611,116.5008629,39.94142352,北京市,北京市,朝阳区
190,八达岭长城,BA DA LING CHANG CHENG,中国铁路北京局,北京市 昌平区,115.2088,41.7626,89896443,116.0032889,40.35867904,北京市,北京市,昌平区
194,八达岭,BA DA LING,中国铁路北京局,北京市 延庆区,115.199,41.7612,6670138,115.9936349,40.35729248,北京市,北京市,延庆区
208,北京丰台,BEI JING FENG TAI,中国铁路北京局,北京市 丰台区,115.504,41.2473,630610,116.2940904,39.84832592,北京市,北京市,丰台区
279,昌平北,CHANG PING BEI,中国铁路北京局,北京市 昌平区,115.4343,41.6313,22980167,116.2254289,40.22863952,北京市,北京市,昌平区
282,昌平,CHANG PING DONG,中国铁路北京局,北京市 昌平区,115.3952,41.5888,6600144,116.1869115,40.18654752,北京市,北京市,昌平区
465,古北口,GU BEI KOU,中国铁路北京局,北京市 密云区,116.3556,42.096,23110414,117.1330016,40.6888784,北京市,北京市,密云区
524,黄村,HUANG CUN,中国铁路北京局,北京市 大兴区,115.5337,41.1152,19160105,116.3233479,39.71749408,北京市,北京市,大兴区
579,怀柔北,HUAI ROU BEI,中国铁路北京局,北京市 怀柔区,115.9019,41.8122,23040655,116.6860617,40.40780288,北京市,北京市,怀柔区
581,怀柔南,HUAI ROU NAN,中国铁路北京局,北京市 怀柔区,115.9132,41.6787,92128301,116.6971933,40.27558448,北京市,北京市,怀柔区
582,怀柔,HUAI ROU,中国铁路北京局,北京市 怀柔区,115.8571,41.7179,22730527,116.6419292,40.31440816,北京市,北京市,怀柔区
594,黑山寺,HEI SHAN SI,中国铁路北京局,北京市 密云区,116.0043,41.8924,23060645,116.7869359,40.48723296,北京市,北京市,密云区
598,黄土店,HUANG TU DIAN,中国铁路北京局,北京市 昌平区,115.548,41.4684,33480381,116.3374348,40.06730336,北京市,北京市,昌平区
734,康庄,KANG ZHUANG,中国铁路北京局,北京市 延庆区,115.0946,41.7811,6690422,115.8907905,40.37700144,北京市,北京市,延庆区
771,良各庄,LIANG GE ZHUANG,中国铁路北京局,北京市 房山区,115.1343,41.1157,53040257,115.9298989,39.71798928,北京市,北京市,房山区
831,良乡,LIANG XIANG,中国铁路北京局,北京市 房山区,115.3566,41.1353,650038,116.1488867,39.73740112,北京市,北京市,房山区
899,密云北,MI YUN BEI,中国铁路北京局,北京市 密云区,116.0734,41.7988,22750646,116.8550063,40.39453152,北京市,北京市,密云区
904,密云,MI YUN,中国铁路北京局,北京市 密云区,116.0618,41.7536,92136646,116.8435792,40.34976544,北京市,北京市,密云区
936,南口,NAN KOU,中国铁路北京局,北京市 昌平区,115.3282,41.6392,6610395,116.1209098,40.23646368,北京市,北京市,昌平区
937,牛栏山,NIU LAN SHAN,中国铁路北京局,北京市 顺义区,115.8556,41.6032,22710126,116.6404516,40.20080928,北京市,北京市,顺义区
1017,清河,QING HE,中国铁路北京局,北京市 海淀区,115.5185,41.4376,6580825,116.3083744,40.03679904,北京市,北京市,海淀区
1018,清华园,QING HUA YUAN,中国铁路北京局,北京市 海淀区,115.5419,41.3795,6570572,116.3314257,39.9792568,北京市,北京市,海淀区
1041,乔庄东,QIAO ZHUANG DONG,中国铁路北京局,北京市 通州区,115.9052,41.2907,88443326,116.6893125,39.89130928,北京市,北京市,通州区
1067,十渡,SHI DU,中国铁路北京局,北京市 房山区,114.7773,41.0405,53080282,115.5782182,39.6435112,北京市,北京市,房山区
1073,沙河,SHA HE,中国铁路北京局,北京市 昌平区,115.4667,41.5236,6590060,116.2573462,40.12197344,北京市,北京市,昌平区
1082,三家店,SAN JIA DIAN,中国铁路北京局,北京市 门头沟区,115.3181,41.3488,27550093,116.1109603,39.94885152,北京市,北京市,门头沟区
1089,石景山南,SHI JING SHAN NAN,中国铁路北京局,北京市 石景山区,115.4155,41.2714,27520400,116.2069091,39.87219456,北京市,北京市,石景山区
1156,顺义,SHUN YI,中国铁路北京局,北京市 顺义区,115.8528,41.5252,22690606,116.6376933,40.12355808,北京市,北京市,顺义区
1161,顺义西,SHUN YI XI,中国铁路北京局,北京市 顺义区,115.6963,41.5794,92119956,116.4835251,40.17723776,北京市,北京市,顺义区
1243,通州,TONG ZHOU,中国铁路北京局,北京市 通州区,115.8714,41.2938,11740353,116.6560161,39.89437952,北京市,北京市,通州区
1245,通州西,TONG ZHOU XI,中国铁路北京局,北京市 通州区,115.8345,41.3017,22670694,116.619666,39.90220368,北京市,北京市,通州区
1486,雁栖湖,YAN XI HU,中国铁路北京局,北京市 怀柔区,115.8666,41.7753,23030641,116.6512877,40.37125712,北京市,北京市,怀柔区
1489,延庆,YAN QING,中国铁路北京局,北京市 延庆区,115.1807,41.838,6680386,115.9756076,40.4333552,北京市,北京市,延庆区
1501,燕山,YAN SHAN,中国铁路北京局,北京市 房山区,115.155,41.1444,53030866,115.9502905,39.74641376,北京市,北京市,房山区
1611,安定,AN DING,中国铁路北京局,北京市 大兴区,115.693,41.012,25730027,116.4802743,39.6152848,北京市,北京市,大兴区
1699,北宅,BEI ZHAI,中国铁路北京局,北京市 怀柔区,115.7803,41.7425,23020244,116.5662735,40.338772,北京市,北京市,怀柔区
1800,大灰厂,DA HUI CHANG,中国铁路北京局,北京市 丰台区,115.327,41.2474,53000810,116.1197277,39.84842496,北京市,北京市,丰台区
1955,官高,GUAN GAO,中国铁路北京局,北京市 昌平区,115.5161,41.6262,22990391,116.3060101,40.22358848,北京市,北京市,昌平区
1957,高各庄,GAO GE ZHUANG,中国铁路北京局,北京市 顺义区,115.8368,41.6596,22700726,116.6219317,40.25666784,北京市,北京市,顺义区
1990,孤山口,GU SHAN KOU,中国铁路北京局,北京市 房山区,115.0426,41.0419,53050148,115.8395653,39.64489776,北京市,北京市,房山区
2329,落坡岭,LUO PO LING,中国铁路北京局,北京市 门头沟区,115.1837,41.3858,27570430,115.9785629,39.98549632,北京市,北京市,门头沟区
2400,庙城,MIAO CHENG,中国铁路北京局,北京市 怀柔区,115.829,41.6878,22720113,116.6142479,40.28459712,北京市,北京市,怀柔区
2450,南观村,NAN GUAN CUN,中国铁路北京局,北京市 房山区,115.1917,41.163,53020405,115.9864437,39.7648352,北京市,北京市,房山区
2535,平峪,PING YU,中国铁路北京局,北京市 房山区,114.7327,41.0561,53090229,115.5342828,39.65896144,北京市,北京市,房山区
2666,三合庄,SAN HE ZHUANG,中国铁路北京局,北京市 房山区,114.9074,41.0295,53070179,115.7063797,39.6326168,北京市,北京市,房山区
2724,上万,SHANG WAN,中国铁路北京局,北京市 房山区,115.2427,41.2184,53010638,116.0366838,39.81970336,北京市,北京市,房山区
2804,统军庄,TONG JUN ZHUANG,中国铁路北京局,北京市 密云区,115.9626,41.743,22740490,116.7458573,40.3392672,北京市,北京市,密云区
2906,魏善庄,WEI SHAN ZHUANG,中国铁路北京局,北京市 大兴区,115.6121,41.06,25720894,116.4005797,39.662824,北京市,北京市,大兴区
2969,斜河涧,XIE HE JIAN,中国铁路北京局,北京市 门头沟区,115.2575,41.3686,27560246,116.0512633,39.96846144,北京市,北京市,门头沟区
3076,雁翅,YAN CHI,中国铁路北京局,北京市 门头沟区,115.0935,41.4337,27590020,115.8897069,40.03293648,北京市,北京市,门头沟区
3096,沿河城,YAN HE CHENG,中国铁路北京局,北京市 门头沟区,114.9136,41.4978,27620072,115.7124874,40.09642112,北京市,北京市,门头沟区
3105,云居寺,YUN JU SI,中国铁路北京局,北京市 房山区,114.9971,41.0172,53060462,115.7947432,39.62043488,北京市,北京市,房山区
3238,珠窝,ZHU WO,中国铁路北京局,北京市 门头沟区,114.9944,41.4492,27600488,115.7920834,40.04828768,北京市,北京市,门头沟区
3246,张辛,ZHANG XIN,中国铁路北京局,北京市 顺义区,115.8949,41.4098,22680585,116.679166,40.00926592,北京市,北京市,顺义区
41,福州,FU ZHOU,中国铁路南昌局,福建省 福州市 晋安区,118.5701,27.3814,36940738,119.3145055,26.11553856,福建省,福州市,晋安区
42,福州南,FU ZHOU NAN,中国铁路南昌局,福建省 福州市 仓山区,118.6415,27.2517,6550428,119.3848417,25.98708368,福建省,福州市,仓山区
268,长乐东,CHANG LE DONG,中国铁路南昌局,福建省 福州市 长乐区,118.8119,27.121,92170029,119.5527027,25.8576384,福建省,福州市,长乐区
269,长乐,CHANG LE,中国铁路南昌局,福建省 福州市 长乐区,118.738,27.1896,92161683,119.4799038,25.92557984,福建省,福州市,长乐区
276,长乐南,CHANG LE NAN,中国铁路南昌局,福建省 福州市 长乐区,118.8502,27.018,92178375,119.590432,25.7556272,福建省,福州市,长乐区
289,长汀南,CHANG TING NAN,中国铁路南昌局,福建省 龙岩市 长汀县,115.5629,27.0295,30870394,116.3521128,25.7670168,福建省,龙岩市,长汀县
416,福鼎,FU DING,中国铁路南昌局,福建省 宁德市 福鼎市,119.4526,28.5619,6480689,120.1838563,27.28470576,福建省,宁德市,福鼎市
435,福清,FU QING,中国铁路南昌局,福建省 福州市 福清市,118.6348,26.9379,4550456,119.3782415,25.67629616,福建省,福州市,福清市
