,车站,拼音,路局,地区,经度x,纬度x,id,经度,纬度,省,市,区
2729,遂溪,SUI XI,中国铁路南宁局,广东省 湛江市 遂溪县,109.3824,22.6174,3860088,110.2637022,21.39727296,广东省,湛江市,遂溪县
2732,始兴,SHI XING,中国铁路广州局,广东省 韶关市 始兴县,113.2463,26.2217,5190266,114.0700301,24.96697168,广东省,韶关市,始兴县
2761,深圳机场北,SHEN ZHEN JI CHANG BEI,中国铁路广州局,广东省 深圳市 宝安区,112.9645,23.8837,90480756,113.792429,22.65141648,广东省,深圳市,宝安区
2763,三灶东,SAN ZAO DONG,中国铁路广州局,广东省 珠海市 金湾区,112.5637,23.2655,100934247,113.3976009,22.0391512,广东省,珠海市,金湾区
2770,十字门,SHI ZI MEN,中国铁路广州局,广东省 珠海市 香洲区,112.6831,23.4002,91239108,113.5152218,22.17255808,广东省,珠海市,香洲区
2803,唐家湾,TANG JIA WAN,中国铁路广州局,广东省 珠海市 香洲区,112.7145,23.5927,160362,113.546154,22.36321008,广东省,珠海市,香洲区
2823,台山,TAI SHAN,中国铁路广州局,广东省 江门市 台山市,111.9674,23.5285,90158303,112.8101857,22.2996264,广东省,江门市,台山市
2853,吴川,WU CHUAN,中国铁路广州局,广东省 湛江市 吴川市,109.891,22.7298,61680882,110.7647241,21.50859392,广东省,湛江市,吴川市
2892,望牛墩,WANG NIU DUN,中国铁路广州局,广东省 东莞市,112.792,24.2728,90374246,113.6224992,23.03678112,广东省,东莞市,
2924,湾仔,WAN ZAI,中国铁路广州局,广东省 珠海市 香洲区,112.6899,23.4092,91228276,113.5219205,22.18147168,广东省,珠海市,香洲区
2925,湾仔北,WAN ZAI BEI,中国铁路广州局,广东省 珠海市 香洲区,112.6969,23.4227,91217444,113.5288162,22.19484208,广东省,珠海市,香洲区
2964,西湖东,XI HU DONG,珠三角城际,广东省 惠州市 惠城区,113.5773,24.3237,5120574,114.3960982,23.08719248,广东省,惠州市,惠城区
2984,小榄,XIAO LAN,中国铁路广州局,广东省 中山市,112.4281,23.88,90804,113.2640213,22.647752,广东省,中山市,
2997,兴宁,XING NING,中国铁路广州局,广东省 梅州市 兴宁市,114.9244,25.3482,4870757,115.7231264,24.10185728,广东省,梅州市,兴宁市
3002,西平西,XI PING XI,珠三角城际,广东省 东莞市,112.9113,24.2301,45067887,113.7400216,22.99449104,广东省,东莞市,
3022,徐闻,XU WEN,中国铁路广州局,广东省 湛江市 徐闻县,109.2584,21.5541,3920332,110.1415498,20.34418064,广东省,湛江市,徐闻县
3033,新兴县,XIN XING XIAN,中国铁路广州局,广东省 云浮市 新兴县,111.372,23.9706,3350884,112.2236572,22.73748224,广东省,云浮市,新兴县
3082,英德,YING DE,中国铁路广州局,广东省 清远市 英德市,112.6003,25.4058,2620129,113.4336555,24.15890432,广东省,清远市,英德市
3083,云东海,YUN DONG HAI,珠三角城际,广东省 佛山市 三水区,111.9979,24.4562,4080593,112.8402313,23.21842048,广东省,佛山市,三水区
3086,阳东,YANG DONG,中国铁路广州局,广东省 阳江市 阳东区,111.2966,23.1789,90162691,112.1493807,21.95338256,广东省,阳江市,阳东区
3124,银瓶,YIN PING,珠三角城际,广东省 东莞市,113.3286,24.2016,5070432,114.1511039,22.96626464,广东省,东莞市,
3138,云山,YUN SHAN,珠三角城际,广东省 惠州市 惠城区,113.5937,24.3463,5130554,114.4122539,23.10957552,广东省,惠州市,惠城区
3151,源潭,YUAN TAN,中国铁路广州局,广东省 清远市 清城区,112.3596,24.9044,2660911,113.196542,23.66231776,广东省,清远市,清城区
3161,阳西,YANG XI,中国铁路广州局,广东省 阳江市 阳西县,110.7792,23.0199,90164359,111.6396899,21.79590896,广东省,阳江市,阳西县
3180,银盏,YIN ZHAN,中国铁路广州局,广东省 清远市 清城区,112.2934,24.8093,2670560,113.1313283,23.56813072,广东省,清远市,清城区
3193,张槎,ZHANG CHA,珠三角城际,广东省 佛山市 禅城区,112.2229,24.2447,101284338,113.0618788,23.00895088,广东省,佛山市,禅城区
3212,仲恺,ZHONG KAI,中国铁路广州局,广东省 惠州市 惠城区,113.4403,24.2627,94580849,114.2611395,23.02677808,广东省,惠州市,惠城区
3218,樟木头东,ZHANG MU TOU DONG,珠三角城际,广东省 东莞市,113.2765,24.193,5060702,114.0997802,22.9577472,广东省,东莞市,
3219,樟木头,ZHANG MU TOU,中国铁路广州局,广东省 东莞市,113.2383,24.136,350425,114.0621493,22.9012944,广东省,东莞市,
3232,中山北,ZHONG SHAN BEI,中国铁路广州局,广东省 中山市,112.5422,23.7891,110974,113.3764212,22.55772464,广东省,中山市,
3259,博罗,BO LUO,中国铁路广州局,广东省 惠州市 博罗县,113.3817,24.3778,99200352,114.2034127,23.14077312,广东省,惠州市,博罗县
3273,惠东,HUI DONG,中国铁路广州局,广东省 惠州市 惠东县,113.9235,24.1677,99233700,114.7371399,22.93269008,广东省,惠州市,惠东县
3276,惠州南,HUI ZHOU NAN,中国铁路广州局,广东省 惠州市 惠城区,113.6352,24.233,99217026,114.4531355,22.9973632,广东省,惠州市,惠城区
3285,罗浮山,LUO FU SHAN,中国铁路广州局,广东省 惠州市 博罗县,113.2406,24.4318,99183678,114.0644151,23.19425472,广东省,惠州市,博罗县
3321,增城,ZENG CHENG,中国铁路广州局,广东省 广州市 增城区,112.9661,24.4414,99167004,113.7940051,23.20376256,广东省,广州市,增城区
21,百浪,BAI LANG,中国铁路南宁局,广西壮族自治区 南宁市 良庆区,107.5452,23.5943,65640845,108.4538765,22.36479472,广西壮族自治区,南宁市,良庆区
36,大拟,DA NI,中国铁路南宁局,广西壮族自治区 南宁市 良庆区,107.6098,23.5257,65630626,108.517514,22.29685328,广西壮族自治区,南宁市,良庆区
38,大王滩,DA WANG TAN,中国铁路南宁局,广西壮族自治区 南宁市 江南区,107.3701,23.843,65680382,108.2813855,22.6111072,广西壮族自治区,南宁市,江南区
39,大元,DA YUAN,中国铁路南宁局,广西壮族自治区 南宁市 良庆区,107.4407,23.7133,65660477,108.3509336,22.48265232,广西壮族自治区,南宁市,良庆区
93,宁村,NING CUN,中国铁路南宁局,广西壮族自治区 南宁市 良庆区,107.4243,23.7876,65670024,108.3347779,22.55623904,广西壮族自治区,南宁市,良庆区
97,那罗,NA LUO,中国铁路南宁局,广西壮族自治区 南宁市 江南区,107.3631,23.9651,65700332,108.2744898,22.73203504,广西壮族自治区,南宁市,江南区
98,南宁北,NAN NING BEI,中国铁路南宁局,广西壮族自治区 南宁市 武鸣区,107.3232,24.3935,99150330,108.2351843,23.1563224,广西壮族自治区,南宁市,武鸣区
99,南宁东,NAN NING DONG,中国铁路南宁局,广西壮族自治区 南宁市 兴宁区,107.502,24.0759,4640256,108.4113202,22.84177136,广西壮族自治区,南宁市,兴宁区
100,南宁,NAN NING,中国铁路南宁局,广西壮族自治区 南宁市 西乡塘区,107.4014,24.0613,4650385,108.3122191,22.82731152,广西壮族自治区,南宁市,西乡塘区
101,南宁西,NAN NING XI,中国铁路南宁局,广西壮族自治区 南宁市 西乡塘区,107.0565,24.1227,58120527,107.9724582,22.88812208,广西壮族自治区,南宁市,西乡塘区
102,那铺,NA PU,中国铁路南宁局,广西壮族自治区 南宁市 良庆区,107.4713,23.645,65650102,108.3810776,22.415008,广西壮族自治区,南宁市,良庆区
127,吴圩机场,WU XU JI CHANG,中国铁路南宁局,广西壮族自治区 南宁市 江南区,107.272,23.8315,97783062,108.1847472,22.5997176,广西壮族自治区,南宁市,江南区
183,博白,BO BAI,中国铁路南宁局,广西壮族自治区 玉林市 博白县,109.1052,23.4594,58160132,109.9906325,22.23118976,广西壮族自治区,玉林市,博白县
198,北海,BEI HAI,中国铁路南宁局,广西壮族自治区 北海市 银海区,108.2267,22.6714,40590563,109.1252222,21.45075456,广西壮族自治区,北海市,银海区
219,百色,BAI SE,中国铁路南宁局,广西壮族自治区 百色市 右江区,105.7279,25.1305,15230699,106.6636543,23.8862472,广西壮族自治区,百色市,右江区
227,宾阳,BIN YANG,中国铁路南宁局,广西壮族自治区 南宁市 宾阳县,108.1899,24.4541,4610849,109.0889705,23.21634064,广西壮族自治区,南宁市,宾阳县
319,崇左南,CHONG ZUO NAN,中国铁路南宁局,广西壮族自治区 崇左市 江州区,106.4676,23.5838,97816410,107.3923328,22.35439552,广西壮族自治区,崇左市,江州区
320,崇左,CHONG ZUO,中国铁路南宁局,广西壮族自治区 崇左市 江州区,106.4303,23.633,5410756,107.3555885,22.4031232,广西壮族自治区,崇左市,江州区
387,东兴市,DONG XING SHI,中国铁路南宁局,广西壮族自治区 防城港市 东兴市,107.0991,22.7974,100150710,108.0144234,21.57554496,广西壮族自治区,防城港市,东兴市
415,防城港北,FANG CHENG GANG BEI,中国铁路南宁局,广西壮族自治区 防城港市 港口区,107.4657,22.9361,40550500,108.3755611,21.71291344,广西壮族自治区,防城港市,港口区
441,扶绥,FU SUI,中国铁路南宁局,广西壮族自治区 崇左市 扶绥县,107.0007,23.8603,5360890,107.9174896,22.62824112,广西壮族自治区,崇左市,扶绥县
471,贵港,GUI GANG,中国铁路南宁局,广西壮族自治区 贵港市 港北区,108.719,24.3367,4600001,109.6101869,23.10006768,广西壮族自治区,贵港市,港北区
477,桂林北,GUI LIN BEI,中国铁路南宁局,广西壮族自治区 桂林市 叠彩区,109.416,26.5881,18890079,110.2968016,25.32985424,广西壮族自治区,桂林市,叠彩区
479,桂林,GUI LIN,中国铁路南宁局,广西壮族自治区 桂林市 象山区,109.397,26.5185,18900279,110.2780847,25.2609224,广西壮族自治区,桂林市,象山区
484,桂平,GUI PING,中国铁路南宁局,广西壮族自治区 贵港市 桂平市,109.2292,24.5541,4590301,110.1127849,23.31538064,广西壮族自治区,贵港市,桂平市
525,河池西,HE CHI XI,中国铁路南宁局,广西壮族自治区 河池市 金城江区,107.2605,25.9639,99083634,108.1734186,24.71164656,广西壮族自治区,河池市,金城江区
547,环江,HUAN JIANG,中国铁路南宁局,广西壮族自治区 河池市 环江毛南族自治县,107.2565,26.1071,99066960,108.1694782,24.85347184,广西壮族自治区,河池市,环江毛南族自治县
619,贺州,HE ZHOU,中国铁路南宁局,广西壮族自治区 贺州市 平桂区,110.6724,25.705,4110844,111.5344812,24.455232,广西壮族自治区,贺州市,平桂区
632,金城江,JIN CHENG JIANG,中国铁路南宁局,广西壮族自治区 河池市 金城江区,107.1479,25.9524,39010425,108.0624963,24.70025696,广西壮族自治区,河池市,金城江区
681,靖西,JING XI,中国铁路南宁局,广西壮族自治区 百色市 靖西市,105.4491,24.3841,59000446,106.3890084,23.14701264,广西壮族自治区,百色市,靖西市
736,隆安东,LONG AN DONG,中国铁路南宁局,广西壮族自治区 南宁市 隆安县,106.7881,24.3691,58130839,107.7080573,23.13215664,广西壮族自治区,南宁市,隆安县
739,来宾北,LAI BIN BEI,中国铁路南宁局,广西壮族自治区 来宾市 兴宾区,108.3453,24.9945,15830570,109.242055,23.7515528,广西壮族自治区,来宾市,兴宾区
746,陆川,LU CHUAN,中国铁路南宁局,广西壮族自治区 玉林市 陆川县,109.3723,23.5388,3800517,110.2537527,22.30982752,广西壮族自治区,玉林市,陆川县
817,黎塘,LI TANG,中国铁路南宁局,广西壮族自治区 南宁市 宾阳县,108.2315,24.4315,3630354,109.1299507,23.1939576,广西壮族自治区,南宁市,宾阳县
854,柳州,LIU ZHOU,中国铁路南宁局,广西壮族自治区 柳州市 柳南区,108.4896,25.5564,15880321,109.384205,24.30805856,广西壮族自治区,柳州市,柳南区
920,南丹,NAN DAN,中国铁路南宁局,广西壮族自治区 河池市 南丹县,106.6339,26.2319,38940649,107.5561549,24.97707376,广西壮族自治区,河池市,南丹县
983,凭祥,PING XIANG,中国铁路南宁局,广西壮族自治区 崇左市 凭祥市,105.8071,23.3065,5510474,106.7416742,22.0797576,广西壮族自治区,崇左市,凭祥市
1040,钦州东,QIN ZHOU DONG,中国铁路南宁局,广西壮族自治区 钦州市 钦南区,107.7611,23.2053,40540241,108.6665596,21.97952912,广西壮族自治区,钦州市,钦南区
1044,全州南,QUAN ZHOU NAN,中国铁路南宁局,广西壮族自治区 桂林市 全州县,110.1667,27.2189,18850206,111.0363162,25.95459856,广西壮族自治区,桂林市,全州县
1046,融安,RONG AN,中国铁路南宁局,广西壮族自治区 柳州市 融安县,108.514,26.4423,22120556,109.4082414,25.18545392,广西壮族自治区,柳州市,融安县
1088,三江南,SAN JIANG NAN,中国铁路南宁局,广西壮族自治区 柳州市 三江侗族自治县,108.6806,26.9888,4170110,109.5723591,25.72670752,广西壮族自治区,柳州市,三江侗族自治县
1091,三江县,SAN JIANG XIAN,中国铁路南宁局,广西壮族自治区 柳州市 三江侗族自治县,108.6778,27.0994,22030682,109.5696008,25.83624576,广西壮族自治区,柳州市,三江侗族自治县
1292,吴圩,WU XU,中国铁路南宁局,广西壮族自治区 南宁市 江南区,107.3334,23.8733,65690171,108.2452323,22.64111632,广西壮族自治区,南宁市,江南区
1302,梧州,WU ZHOU,中国铁路南宁局,广西壮族自治区 梧州市 长洲区,110.3683,24.7273,37750034,111.2349123,23.48691792,广西壮族自治区,梧州市,长洲区
